Latitude	Longitude	SUM di Total victims
		315
21.3255125	-157.8473055	7
25.79653943	-80.20840397	26
25.8670105	-80.29146268	7
25.94326707	-80.24253243	4
26.1223084	-80.1433786	7
26.127586	-80.233104	5
26.640628	-81.872308	4
27.73907518	-97.43073352	5
27.950575	-82.457178	12
27.98388983	-80.66662713	20
27.99601861	-82.44503769	8
28.039465	-81.949804	4
28.24653304	-82.71690259	4
28.4541	-81.4646	12
29.19313443	-81.10173014	4
29.760427	-95.369803	5
29.785785	-95.824396	4
29.79705548	-95.36763856	8
30.0687242	-89.93147412	36
30.1988873	-97.84415949	48
30.21233538	-92.0316453	11
30.22409	-92.019843	4
30.22540212	-85.87371301	7
30.33216122	-81.67576993	21
31.04367594	-85.8763466	16
31.07925506	-97.73392317	71
31.13814354	-97.77797804	45
31.58036482	-90.44323475	5
31.8076	-95.8069	6
32.15358905	-110.9677647	4
32.2217429	-110.926479	19
32.27492783	-90.09470655	9
32.3154272	-95.30501087	6
32.34729571	-86.26730242	8
32.376081	-88.68978002	15
32.543745	-86.211913	4
32.555556	-117.047656	40
32.60598014	-85.48989253	6
32.66240106	-85.37706931	4
32.74802142	-97.31305148	14
32.788387	-79.933143	10
32.79480596	-96.76631094	15
32.86357277	-117.1281628	26
33.02912644	-84.7143335	10
33.03607062	-85.0287065	5
33.13439925	-117.0722528	4
33.42268696	-111.8163202	12
33.448377	-112.074037	4
33.47316083	-117.696399	6
33.47524551	-81.72595949	7
33.5282865	-86.79550448	5
33.538652	-112.185987	8
33.54961059	-117.6415707	6
33.57145875	-112.0904854	13
33.66086267	-84.02688527	10
33.67803464	-117.773628	7
33.71059292	-84.71564276	6
33.748995	-84.387982	4
33.75432632	-118.0715378	9
33.7629969	-84.4231328	21
33.77005	-118.193739	4
33.782519	-117.228648	5
33.78935598	-117.820412	6
33.83272887	-81.8051584	4
33.88404244	-117.92785	9
33.93814348	-117.3948409	6
33.9412127	-84.2135309	5
33.997197	-117.48548	4
34.02319149	-118.4815644	8
34.023243	-84.361556	4
34.02529674	-84.61766831	6
34.05057545	-84.06872262	4
34.05098834	-80.82077527	7
34.052234	-118.243685	8
34.09026669	-117.8819958	11
34.13973446	-117.2942444	35
34.16204	-86.475543	4
34.17622092	-118.5399542	26
34.1928952	-82.15355508	11
34.26779152	-85.18822422	4
34.43606107	-119.8593619	7
34.61025711	-83.52918091	4
34.72827538	-86.6723055	6
34.7404	-88.1383	4
34.86379864	-79.9996781	4
35.07997086	-79.03796125	12
35.085334	-106.605553	4
35.09318123	-85.23676751	7
35.10528976	-89.97734924	5
35.149534	-90.04898	8
35.15290522	-106.7791378	9
35.1725658	-111.6585435	4
35.18322484	-101.8805688	6
35.33985609	-79.41381725	10
35.345802	-79.4170543	11
35.46779189	-97.5191631	4
35.66889223	-97.41438792	20
35.77669911	-95.25996596	4
35.8209895	-90.6682606	15
35.92681467	-79.03850407	4
36.13543238	-95.91316117	5
36.181271	-115.134132	585
36.18931923	-115.3264875	9
36.44329	-108.723281	3
36.55605824	-82.21429551	4
36.765971	-78.928344	6
36.7921	-76.3293	5
37.08506	-88.74422	8
37.204442	-91.876583	8
37.2295733	-80.4139393	55
37.27537712	-82.09877234	6
37.36463172	-121.9679315	6
37.38344257	-122.0256185	11
37.40264	-76.458559	4
37.67129418	-97.55070476	4
37.687176	-97.330053	4
37.75457839	-122.4424343	22
37.8043808	-122.2708166	10
37.84040411	-87.57853755	7
