id,value,location,kills,health,lat
0,2017-12-31,Close,0,No,0
1,2017-11-05,Close,46,No,0
3,2017-10-18,Close,6,No,0
4,2017-10-01,Open,585,Unclear,36.181271
5,2017-06-14,Close,5,Yes,0
7,2017-06-05,Close,5,Unclear,0
8,2017-05-12,Close,3,Yes,0
10,2017-01-06,Close,11,Yes,0
11,2016-09-23,Close,5,Yes,0
12,2016-07-17,Open,6,Yes,0
13,2016-07-07,Open,16,Unclear,0
14,2016-06-12,Close,102,Unclear,0
15,2016-04-29,Open,4,Unknown,38.744217
16,2016-04-26,Open,5,Unknown,38.845113
17,2016-04-24,Open,6,Unknown,36.765971
18,2016-04-21,Open,4,Unknown,39.290385
19,2016-04-19,Open,5,Unknown,41.878114
20,2016-04-19,Close,4,Unknown,29.785785
21,2016-04-19,Open,4,Yes,34.16204
22,2016-04-18,Open,4,Unknown,33.77005
23,2016-04-09,Close,4,Unknown,35.085334
24,2016-04-09,Open,4,Unknown,35.149534
25,2016-04-07,Open,5,Unknown,41.878114
33,2016-03-19,Close,5,Unknown,26.127586
34,2016-03-19,Open,4,Unknown,32.543745
35,2016-03-15,Open,4,Unknown,33.748995
36,2016-03-13,na,4,Unknown,26.640628
38,2016-03-11,Open,5,Unknown,40.217053
39,2016-03-11,Open,4,Unknown,42.331427
40,2016-03-09,Open,9,Unknown,40.440625
41,2016-03-09,Open,8,Unknown,40.441736
42,2016-03-07,Close,5,Unknown,39.114053
43,2016-03-07,Open,4,Unknown,30.22409
44,2016-03-07,Close,4,Unknown,39.114053
45,2016-03-06,Close,7,Unknown,42.391764
46,2016-03-06,Open,4,Unknown,34.023243
47,2016-03-05,Open,4,Unknown,37.687176
48,2016-02-28,Open,5,Unknown,42.331427
49,2016-02-28,Open,4,Unknown,33.997197
50,2016-02-27,Open,4,Unknown,38.6697
170,2016-02-26,Close,4,Unknown,47.5033
52,2016-02-25,Close,17,Unclear,
53,2016-02-25,Open,17,Unknown,38.1368
54,2016-02-25,Close,4,Unknown,47.451459
55,2016-02-23,Close,4,Unknown,33.448377
57,2016-02-21,Open,5,Unknown,29.760427
56,2016-02-21,Open,4,Unknown,38.77144
58,2016-02-20,Open,8,Unclear,
61,2016-02-20,Open,8,No,42.291707
59,2016-02-20,Open,4,Unknown,34.7404
60,2016-02-20,Open,4,Unknown,27.950575
62,2016-02-19,Open,4,Unknown,38.104086
64,2016-02-07,Close,12,Unknown,28.4541
65,2016-02-07,Close,8,Unknown,43.16103
66,2016-02-06,Close,8,Unknown,27.950575
67,2016-02-06,Open,4,Unknown,34.052234
70,2016-01-30,Close,8,Unknown,33.538652
72,2016-01-27,Close,5,Yes,36.7921
73,2016-01-25,Close,5,Unknown,33.782519
75,2016-01-23,Open,4,Unknown,34.052234
76,2016-01-17,Close,4,Unknown,37.40264
77,2016-01-11,Close,5,Unknown,39.739072
78,2016-01-07,Open,4,Unknown,35.149534
79,2016-01-06,Close,4,Unknown,28.039465
80,2015-12-06,na,5,Unknown,41.3138
81,2015-12-02,Close,35,Unclear,0
82,2015-12-02,Close,35,Unknown,34.13973446
83,2015-11-27,Close,12,Unclear,0
85,2015-11-23,Open,5,Unknown,44.96358722
84,2015-11-23,Close,4,Unknown,39.98861445
86,2015-11-15,Open,6,Unknown,31.8076
87,2015-11-13,Close,4,Unknown,30.33216122
92,2015-10-09,Open,4,Unknown,35.1725658
93,2015-10-01,Close,16,Unknown,43.22205555
95,2015-09-27,Close,10,Unknown,33.02912644
96,2015-09-17,Close,5,Unknown,43.38682722
97,2015-09-10,Close,4,Yes,47.69618799
98,2015-08-29,na,4,Unknown,36.55605824
100,2015-08-19,Open,7,Unknown,43.1696837
101,2015-08-08,Close,8,Unknown,29.79705548
102,2015-07-23,Close,11,Yes,30.21233538
103,2015-07-22,Close,4,Unknown,34.05057545
104,2015-07-16,Open,7,Yes,35.09318123
105,2015-07-12,Open,4,Unknown,41.89499946
106,2015-06-20,Close,4,Unknown,34.86379864
107,2015-06-17,Close,10,Unknown,32.788387
108,2015-06-16,na,4,Unknown,25.94326707
109,2015-06-11,na,4,Yes,0
110,2015-06-07,Close,4,Unknown,46.39761858
112,2015-05-31,Close,4,Unknown,33.66086267
113,2015-05-25,Close,5,Unknown,39.85566372
114,2015-05-12,na,4,Yes,32.15358905
115,2015-05-10,Open,4,Unknown,40.73169648
116,2015-05-03,Open,4,Yes,44.20455909
117,2015-05-01,Open,5,No,43.06420322
118,2015-04-25,Close,7,Unknown,43.15693027
119,2015-04-21,Close,5,Unknown,31.07925506
120,2015-04-16,na,4,Unknown,33.57145875
121,2015-04-07,Open,4,No,34.26779152
122,2015-04-05,Close,5,No,39.77725479
123,2015-04-03,Close,4,No,29.19313443
125,2015-03-28,na,7,No,30.22540212
126,2015-03-19,na,3,Unknown,36.44329
127,2015-03-18,Open,6,No,33.42268696
129,2015-03-13,Close,5,Unknown,31.58036482
132,2015-02-26,Close,8,No,37.204442
134,2015-02-22,Close,4,No,34.61025711
135,2015-02-22,na,4,No,31.07925506
137,2015-02-09,Close,4,No,28.24653304
139,2015-02-07,Close,6,No,33.71059292
141,2015-02-01,Close,6,No,43.04093416
142,2015-01-28,Close,5,No,33.03607062
144,2015-01-24,Open,8,No,41.265922
143,2015-01-24,Close,4,No,40.68996411
145,2015-01-10,Close,4,No,46.73059479
146,2015-01-01,Open,5,No,35.10528976
147,2014-12-15,Close,7,Yes,40.39359306
148,2014-12-01,Close,4,No,39.63400851
150,2014-10-24,Close,5,No,48.04802409
151,2014-08-08,Open,4,No,35.15290522
152,2014-06-29,Open,10,No,30.0687242
153,2014-06-08,Close,3,No,36.18931923
155,2014-05-23,Open+Close,19,Yes,0
156,2014-04-29,Close,6,No,34.02529674
157,2014-04-03,Open,15,Unclear,0
158,2014-04-02,Open,19,Yes,31.07925506
159,2014-03-23,Open,8,No,37.75457839
160,2014-02-20,na,6,No,41.4911123
161,2013-12-28,Close,8,No,32.34729571
162,2013-11-01,Open,4,No,34.17622092
164,2013-09-16,Close,15,Yes,38.90480894
165,2013-08-14,na,4,Yes,35.46779189
166,2013-08-07,Close,8,Unknown,32.79480596
167,2013-08-05,Close,6,No,39.75344279
168,2013-07-26,Close,7,Unclear,25.8670105
169,2013-06-07,Open+Close,8,Yes,34.02319149
170,2013-04-24,Close,7,Unknown,39.54231335
171,2013-04-21,Close,4,Unknown,47.30909721
172,2013-03-13,Open+Close,6,No,43.0104011
173,2013-02-19,Open+Close,6,Yes,33.54961059
174,2013-02-03,Open+Close,7,Yes,33.67803464
176,2013-01-19,Close,5,Yes,35.15290522
177,2012-12-14,Open+Close,29,Yes,41.41190846
179,2012-10-21,Close,7,No,43.06396691
180,2012-09-28,Close,15,Unknown,25.79653943
181,2012-09-27,Close,8,Yes,44.96358722
182,2012-08-05,Close,10,No,42.88027442
183,2012-07-20,Close,82,Yes,39.709283
184,2012-06-09,Close,6,Unknown,32.60598014
185,2012-05-30,Open+Close,6,Yes,47.62199575
186,2012-05-20,Open+Close,7,Yes,47.6038321
187,2012-04-06,na,5,No,36.13543238
188,2012-04-02,Close,10,Yes,37.8043808
189,2012-02-27,Close,6,Yes,41.58025541
190,2012-02-22,Close,5,Yes,33.9412127
191,2012-01-29,Close,5,No,33.5282865
192,2011-10-12,Open+Close,9,Yes,33.75432632
193,2011-09-06,Close,12,Yes,39.1637984
194,2011-07-07,Open+Close,9,Yes,42.96920434
195,2011-04-06,Open,4,Yes,32.66240106
196,2011-02-06,Close,12,Unknown,41.09933958
197,2011-01-08,Open,19,Yes,32.2217429
198,2010-08-03,Close,11,No,41.7759324
199,2010-02-12,Close,6,No,34.72827538
200,2009-11-29,Close,5,Yes,47.155846
201,2009-11-29,Close,4,Yes,47.16267579
202,2009-11-05,Close,45,Yes,31.13814354
203,2009-04-03,Close,18,Yes,42.0986867
204,2009-03-29,Close,11,Yes,35.345802
206,2009-03-29,Close,10,Yes,35.33985609
205,2009-03-29,Close,6,No,37.36463172
207,2009-03-10,Open+Close,16,No,31.04367594
208,2008-12-24,Close,11,No,34.09026669
211,2008-06-25,Close,7,No,37.84040411
212,2008-02-14,Close,26,Yes,41.9294736
213,2008-02-07,Open+Close,7,No,38.57889169
214,2007-12-24,Close,6,No,47.64628742
215,2007-12-11,Open,6,No,36.18931923
216,2007-12-09,Close,9,No,39.81087474
217,2007-12-05,Close,13,Yes,41.2587317
218,2007-10-25,Open,4,No,43.41929117
219,2007-10-11,Close,4,Yes,41.47657557
